trial;TrialRound;setup;obj;trt_mix;trt_size;obj_pos_ID;fruit id;d1_mm;d2_mm;h_mm;w_g;ref_mm;H_lvl_from_top;zone;REAL_x_obj_mm;REAL_Z_lvl_mm;REAL_Z_obj_offset_mm;REAL_z_obj_mm;cam_dist_mm(REAL_Y);REAL_y_obj(i.e.,_offset_mm);cam_h1;cam_h2;cam_h3;cam_d1;cam_d2;cam_d3
Size_Pos;r6;3d;tball;mix;tball;1;tball;;65.17892857;65.17892857;65.17892857;;1;L;-500;2000;-80;1885.4;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;med;2;17;;59.86;55.96;52.34;89.81;1;M;0;2000;-80;1890.0;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;big;3;2;;61.15;55.79;52.43;102.3003;1;R;500;2000;-80;1890.1;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;big;4;1;;64.36;61.15;55.79;109.5162;2;L;-500;1700;-80;1587.4;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;med;5;1;;58.82;59.52;52.47;98.09;2;M;0;1700;-80;1588.2;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;small;6;20;;53.7;53.74;53.64;76.57;2;R;500;1700;-80;1591.1;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;med;7;2;;61.05;58.45;49.82;93.14;3;L;-500;1400;-80;1288.8;1516;-40;;;;;;
Size_Pos;r6;3d;tball;mix;tball;8;tball;;65.17892857;65.17892857;65.17892857;;3;M;0;1400;-80;1285.4;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;big;9;28;;64.18;63.25;55.56;118.0496;3;R;500;1400;-80;1286.4;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;small;10;29;;49.53;47.05;44.03;55.46;4;L;-500;1100;-80;994.5;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;big;11;21;;69.87;68.44;63.17;157.5844;4;M;0;1100;-80;983.8;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;med;12;4;;59.79;57.79;51.98;92.67;4;R;500;1100;-80;989.1;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;big;13;27;;69.09;67.14;59.79;143.5971;5;L;-500;800;-80;684.4;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;med;14;31;;57.87;57.12;52.73;89.94;5;M;0;800;-80;689.4;1516;-40;;;;;;
Size_Pos;r6;3d;tball;mix;tball;15;tball;;65.17892857;65.17892857;65.17892857;;5;R;500;800;-80;685.4;1516;-40;;;;;;
Size_Pos;r6;3d;Apple;mix;big;16;14;;66.58;65.81;58.19;136.3558;1;L;-220;2000;-70;1895.1;1516;-220;;;;;;
Size_Pos;r6;3d;Apple;mix;small;17;40;;48.45;49.16;41.8;54.79;1;R;150;2000;-70;1903.4;1516;-250;;;;;;
Size_Pos;r6;3d;Apple;mix;med;18;6;;59.32;56.85;50.77;89.34;2;L;-200;1700;-70;1599.6;1516;-80;;;;;;
Size_Pos;r6;3d;tball;mix;tball;19;tball;;65.17892857;65.17892857;65.17892857;;2;R;300;1700;-70;1595.4;1516;-450;;;;;;
Size_Pos;r6;3d;Apple;mix;big;20;32;;65.08;63.17;58.31;130.6012;3;L;-100;1400;-70;1296.4;1516;-340;;;;;;
Size_Pos;r6;3d;Apple;mix;big;21;9;;64.86;59.94;58.18;117.0969;3;R;100;1400;-70;1298.0;1516;-100;;;;;;
Size_Pos;r6;3d;tball;mix;tball;22;tball;;65.17892857;65.17892857;65.17892857;;4;L;-200;1100;-70;995.4;1516;-260;;;;;;
Size_Pos;r6;3d;Apple;mix;small;23;21;;47.47;47.5;48.28;57.5;4;R;300;1100;-70;1004.3;1516;-200;;;;;;
Size_Pos;r6;3d;Apple;mix;big;24;6;;61.15;55.79;52.43;102.3003;5;L;-300;800;-70;700.1;1516;-440;;;;;;
Size_Pos;r6;3d;Apple;mix;small;25;17;;55.55;53.74;49.24;74.31;5;R;290;800;-70;701.1;1516;-170;;;;;;
perpective;r7;2d;Apple;;big;1;6;64.86;59.94;58.18;117.0969;60.99333333;2;L;-200;1700;-80;1588.9;;-40;1100;1600;1850;;;
perpective;r7;2d;Apple;;big;2;28;64.18;63.25;55.56;118.0496;60.99666667;2;M;0;1700;-80;1590.2;;-40;1100;1600;1850;;;
perpective;r7;2d;Apple;;big;3;9;62.84;61.24;55.47;108.4723;59.85;2;R;200;1700;-80;1590.3;;-40;1100;1600;1850;;;
perpective;r7;2d;Apple;;big;4;1;64.36;61.15;55.79;109.5162;60.43333333;3;L;-200;1400;-80;1290.1;;-40;1100;1600;1850;;;
perpective;r7;2d;Apple;;big;5;32;65.08;63.17;58.31;130.6012;62.18666667;3;M;0;1400;-80;1288.8;;-40;1100;1600;1850;;;
