image,setup,Trunk-Cam_dist[mm],ObjType,Position,FSize[1],FSize[2],FSize[3],Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_1_5_0.png,2D,1535.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.059,1.864,0.0,0.062,1.904,0.039999999999999813,0.039999999999999813
color_1_5_0.png,2D,1535.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.059,1.864,-0.469,0.032,1.884,0.049999999999999795,0.03605551275463978
color_1_5_0.png,2D,1535.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.058,1.562,0.468,0.06,1.602,0.040000000000000036,0.040000000000000036
color_1_5_0.png,2D,1535.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.057,1.564,0.0,0.03,1.614,0.08000000000000004,0.05830951894845304
color_1_5_0.png,2D,1535.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.059,1.563,-0.473,0.05,1.613,0.06000000000000004,0.05099019513592789
color_1_5_0.png,2D,1535.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.058,1.265,0.469,0.05,1.315,0.07000000000000005,0.06082762530298225
color_1_5_0.png,2D,1535.0,Tennis_ball,8,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.0,0.059,1.257,0.0,0.047,1.297,0.05000000000000003,0.04123105625617664
color_1_5_0.png,2D,1535.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.057,1.262,-0.468,0.04,1.292,0.050000000000000024,0.03605551275463991
color_1_5_0.png,2D,1535.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.058,0.978,0.475,0.04,1.008,0.050000000000000024,0.03605551275463991
color_1_5_0.png,2D,1535.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.059,0.958,0.0,0.036,0.978,0.040000000000000015,0.028284271247461912
color_1_5_0.png,2D,1535.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.058,0.964,-0.47,0.051,0.994,0.04000000000000002,0.03162277660168382
color_1_5_0.png,2D,1535.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.058,0.66,0.465,0.06,0.69,0.029999999999999916,0.029999999999999916
color_1_5_0.png,2D,1535.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.058,0.664,0.0,0.05,0.694,0.03999999999999991,0.03162277660168371
color_1_5_0.png,2D,1535.0,Tennis_ball,15,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.467,0.059,0.657,-0.467,0.02,0.677,0.06000000000000001,0.044721359549995794
color_1_6_0.png,3D,1517.0,Tennis_ball,1,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.467,0.041,1.887,0.467,0.037,1.907,0.020000000000000018,0.020000000000000018
color_1_6_0.png,3D,1517.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.058,1.854,0.0,0.052,1.894,0.04999999999999981,0.04123105625617642
color_1_6_0.png,3D,1517.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.064,1.844,-0.469,0.062,1.864,0.020000000000000018,0.020000000000000018
color_1_6_0.png,3D,1517.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.065,1.532,0.468,0.05,1.592,0.07000000000000005,0.06082762530298225
color_1_6_0.png,3D,1517.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.06,1.544,0.0,0.05,1.604,0.07000000000000005,0.06082762530298225
color_1_6_0.png,3D,1517.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.052,1.553,-0.473,0.05,1.603,0.050000000000000044,0.050000000000000044
color_1_6_0.png,3D,1517.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.059,1.245,0.469,0.04,1.305,0.07000000000000003,0.05385164807134508
color_1_6_0.png,3D,1517.0,Tennis_ball,8,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.0,0.041,1.287,0.0,0.037,1.287,0.0,0.0
color_1_6_0.png,3D,1517.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.068,1.232,-0.468,0.02,1.282,0.10000000000000005,0.07071067811865478
color_1_6_0.png,3D,1517.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.045,0.968,0.475,0.04,0.998,0.030000000000000027,0.030000000000000027
color_1_6_0.png,3D,1517.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.086,0.908,0.0,0.05,0.968,0.09999999999999994,0.07211102550927974
color_1_6_0.png,3D,1517.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.058,0.944,-0.47,0.031,0.984,0.07000000000000003,0.05000000000000003
color_1_6_0.png,3D,1517.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.079,0.62,0.465,0.05,0.68,0.09000000000000005,0.06708203932499374
color_1_6_0.png,3D,1517.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.057,0.654,0.0,0.03,0.674,0.05000000000000002,0.036055512754639904
color_1_6_0.png,3D,1517.0,Tennis_ball,15,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.467,0.041,0.687,-0.467,0.01,0.667,0.049999999999999906,0.03605551275463984
color_1_6_0.png,3D,1517.0,Apple,16,0.06658,0.06581000000000001,0.05819,0.187,0.256,1.831,0.167,0.247,1.911,0.10999999999999985,0.0830662386291806
color_1_6_0.png,3D,1517.0,Apple,17,0.04845,0.049159999999999995,0.0418,-0.126,0.253,1.879,-0.076,0.265,1.929,0.11000000000000006,0.07141428428542854
color_1_6_0.png,3D,1517.0,Apple,18,0.05932,0.056850000000000005,0.05077,0.17,0.098,1.555,0.17,0.072,1.645,0.10999999999999985,0.08544003745317517
color_1_6_0.png,3D,1517.0,Tennis_ball,19,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.267,0.418,1.597,-0.267,0.487,1.597,0.07,0.07
color_1_6_0.png,3D,1517.0,Apple,20,0.06508,0.06317,0.05831,0.067,0.374,1.231,0.067,0.368,1.301,0.07000000000000006,0.07000000000000006
color_1_6_0.png,3D,1517.0,Apple,21,0.06486,0.05994,0.05818,-0.068,0.13,1.241,-0.068,0.18,1.291,0.10000000000000003,0.07071067811865477
color_1_6_0.png,3D,1517.0,Tennis_ball,22,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.167,0.228,0.997,0.167,0.267,1.007,0.05000000000000002,0.04123105625617662
